timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307746.006,-117.676,-29.297,-5.371,-53.711,0.000
1605307746.010,59.082,4.883,3.906,15.137,0.000
1605307746.014,101.562,-9.277,-8.789,10.742,0.000
1605307746.018,-30.273,-34.180,-42.480,-42.480,0.000
1605307746.022,-146.484,-29.785,-45.410,-81.543,0.000
1605307746.026,-91.309,8.301,-9.766,-33.691,0.000
1605307746.030,47.852,12.695,-26.367,19.531,0.000
1605307746.034,118.164,0.000,-13.184,35.645,0.000
1605307746.038,3.418,-41.504,-15.137,-25.879,0.000
1605307746.041,-121.094,-50.781,-13.672,-64.941,0.000
1605307746.045,-52.734,26.855,47.363,6.348,0.000
1605307746.049,41.504,25.879,11.230,30.762,0.000
1605307746.053,100.098,2.441,-21.484,33.691,0.000
1605307746.057,18.066,-23.438,-55.176,-29.297,0.000
1605307746.061,-148.438,-69.824,-55.664,-90.332,0.000
1605307746.065,-175.293,-65.918,-24.902,-76.172,0.000
1605307746.069,-25.879,-35.156,-21.973,-31.250,0.000
1605307746.073,109.863,3.418,-6.836,20.508,0.000
1605307746.077,36.621,-10.254,-32.227,-26.855,0.000
1605307746.080,-81.055,16.113,-3.906,-45.898,0.000
1605307746.084,-110.840,33.203,21.973,-28.809,0.000
1605307746.088,-32.227,-28.320,-23.438,-30.762,0.000
1605307746.092,102.051,-23.926,-15.625,18.066,0.000
1605307746.096,69.336,-32.227,-20.020,3.418,0.000
1605307746.100,-95.215,-60.547,-46.387,-68.359,0.000
1605307746.104,-174.805,-58.594,-45.898,-89.844,0.000
1605307746.108,-62.012,-37.598,-24.902,-18.555,0.000
1605307746.112,104.004,-10.742,-9.277,30.273,0.000
1605307746.116,96.191,-11.719,-19.531,22.949,0.000
1605307746.120,-68.359,-49.805,-29.785,-33.203,0.000
1605307746.123,-168.457,-72.754,-45.410,-85.449,0.000
1605307746.127,-54.199,-6.348,-16.113,-19.531,0.000
1605307746.131,81.543,7.324,-13.184,23.438,0.000
1605307746.135,139.160,16.602,25.879,50.293,0.000
1605307746.139,143.555,128.418,149.414,129.883,0.000
1605307746.143,-109.375,5.371,31.250,-31.250,0.000
1605307746.147,-141.602,-49.805,-42.969,-82.520,0.000
1605307746.151,64.941,2.441,-20.020,15.137,0.000
1605307746.155,120.117,-29.297,-13.672,31.738,0.000
1605307746.159,-34.668,-48.340,-31.738,-32.227,0.000
1605307746.163,-182.617,-58.105,-44.434,-93.262,0.000
1605307746.166,-102.051,-36.133,-27.344,-62.988,0.000
1605307746.170,65.430,15.137,-16.113,4.395,0.000
1605307746.174,156.738,77.148,47.852,69.336,0.000
1605307746.178,41.016,45.898,34.668,7.812,0.000
1605307746.182,-176.758,-53.711,-50.293,-110.840,0.000
1605307746.186,-148.438,-61.523,-57.617,-77.637,0.000
1605307746.190,39.551,-32.227,-31.250,15.625,0.000
1605307746.194,129.395,-1.465,-1.465,50.781,0.000
1605307746.198,-19.043,-11.230,-25.879,-23.926,0.000
1605307746.202,-145.996,-72.754,-41.504,-79.590,0.000
1605307746.205,-104.492,-51.270,-23.926,-66.895,0.000
1605307746.209,39.062,29.297,-7.324,-3.418,0.000
1605307746.213,136.230,33.203,-15.625,38.574,0.000
1605307746.217,28.320,-23.926,-43.945,-11.230,0.000
1605307746.221,-131.348,-63.965,-41.504,-52.734,0.000
1605307746.225,-162.598,-56.152,-69.824,-75.684,0.000
1605307746.229,31.738,29.785,-23.438,20.508,0.000
1605307746.233,252.930,118.164,107.422,165.039,0.000
1605307746.237,75.195,13.184,20.020,26.855,0.000
1605307746.241,-133.301,-75.684,-62.500,-85.449,0.000
1605307746.245,-136.719,-56.641,-40.527,-64.941,0.000
1605307746.248,23.438,-29.297,-25.879,0.000,0.000
1605307746.252,125.977,27.832,-14.648,12.695,0.000
1605307746.256,62.012,1.953,-27.832,-10.742,0.000
1605307746.260,-77.148,-62.988,-48.828,-44.922,0.000
1605307746.264,-156.738,-43.945,-50.781,-73.730,0.000
1605307746.268,0.977,31.250,0.000,6.348,0.000
1605307746.272,176.758,29.785,19.531,72.266,0.000
1605307746.276,101.562,-39.062,-24.902,25.391,0.000
1605307746.280,-82.520,-71.777,-40.527,-55.176,0.000
1605307746.284,-165.039,-56.641,-30.762,-88.379,0.000
1605307746.288,-30.273,-17.578,-19.531,-25.391,0.000
1605307746.291,117.188,2.930,-30.762,31.738,0.000
1605307746.295,73.730,-24.414,-27.344,8.789,0.000
1605307746.299,-54.688,-67.871,-28.809,-29.785,0.000
1605307746.303,-138.672,-47.852,-51.758,-70.312,0.000
1605307746.307,-62.500,-9.766,-27.832,-35.156,0.000
1605307746.311,94.238,-1.465,-8.301,29.297,0.000
1605307746.315,124.023,-0.977,-16.113,30.273,0.000
1605307746.319,-41.504,-44.922,-20.508,-29.785,0.000
1605307746.323,-169.434,-32.715,-12.207,-68.848,0.000
1605307746.327,-74.219,28.320,19.043,-21.973,0.000
1605307746.330,87.891,-9.277,1.953,40.527,0.000
1605307746.334,134.277,-27.344,-18.555,42.480,0.000
1605307746.338,-13.184,-56.641,-27.832,-15.625,0.000
1605307746.342,-181.152,-60.059,-36.621,-77.637,0.000
1605307746.346,-127.441,0.488,-36.133,-62.500,0.000
1605307746.350,69.336,-14.648,-3.906,24.902,0.000
1605307746.354,122.070,-25.391,4.395,46.387,0.000
1605307746.358,-16.602,-40.039,-27.832,-21.973,0.000
